week,team_1,team_1_score,team_2,team_2_score
1,SF Snicker Optimizers,98.44,Gofers,67.42
1,Gonna Achilles Myself,124.94,Louisiana Chantin' Chodes,68.16
1,Wills Sink Puke,96.26,Gum Pillows,108.14
1,Ron Don Volante,79.32,Show time,74.58
1,Obj and the Gang,113.08,Nathan Peterman was railroaded,95.26
1,Juan and done,64.3,Los SexTape,67.78
1,An Actual Playoff Contender,54.04,The Football Team,96.46
2,SF Snicker Optimizers,114.14,Obj and the Gang,90.34
2,Wills Sink Puke,138.4,Gonna Achilles Myself,61.6
2,Louisiana Chantin' Chodes,106.98,Gofers,128.24
2,Gum Pillows,104.4,Ron Don Volante,70.16
2,Show time,107.22,Juan and done,100.12
2,Nathan Peterman was railroaded,117.64,An Actual Playoff Contender,119.36
2,Los SexTape,77.78,The Football Team,125.76
3,SF Snicker Optimizers,101.76,An Actual Playoff Contender,101.72
3,Gonna Achilles Myself,89.16,Gofers,118.56
3,Ron Don Volante,67.22,Wills Sink Puke,159.7
3,Obj and the Gang,109.36,Louisiana Chantin' Chodes,82.28
3,Juan and done,113.48,Gum Pillows,147.94
3,The Football Team,94.98,Show time,104.84
3,Los SexTape,109.06,Nathan Peterman was railroaded,93.08
4,SF Snicker Optimizers,137.1,Los SexTape,38.6
4,Ron Don Volante,90.3,Gonna Achilles Myself,118.92
4,Gofers,74.44,Obj and the Gang,104.78
4,Wills Sink Puke,97.08,Juan and done,84.36
4,Louisiana Chantin' Chodes,161.42,An Actual Playoff Contender,88.9
4,Gum Pillows,117.22,The Football Team,68.46
4,Show time,105.1,Nathan Peterman was railroaded,70.42
5,SF Snicker Optimizers,70.32,Show time,101.48
5,Gonna Achilles Myself,103.46,Obj and the Gang,93.46
5,Juan and done,141.32,Ron Don Volante,77.92
5,An Actual Playoff Contender,67.66,Gofers,105.82
5,The Football Team,98.94,Wills Sink Puke,104.94
5,Los SexTape,131.82,Louisiana Chantin' Chodes,89.94
5,Nathan Peterman was railroaded,94.96,Gum Pillows,87.04
6,SF Snicker Optimizers,85.42,Gum Pillows,111.94
6,Juan and done,85.5,Gonna Achilles Myself,92.4
6,Obj and the Gang,101.94,An Actual Playoff Contender,80.66
6,Ron Don Volante,78.22,The Football Team,101.44
6,Gofers,87.78,Los SexTape,81.4
6,Wills Sink Puke,114.78,Nathan Peterman was railroaded,89.84
6,Louisiana Chantin' Chodes,108.72,Show time,95.24
7,SF Snicker Optimizers,61.9,Wills Sink Puke,85.06
7,Gonna Achilles Myself,82.3,An Actual Playoff Contender,84.7
7,The Football Team,84.02,Juan and done,128.76
7,Los SexTape,100.54,Obj and the Gang,134.26
7,Nathan Peterman was railroaded,127.04,Ron Don Volante,70.94
7,Show time,80.86,Gofers,79.56
7,Gum Pillows,94.66,Louisiana Chantin' Chodes,127.78
8,SF Snicker Optimizers,84.84,Ron Don Volante,104.28
8,The Football Team,85.66,Gonna Achilles Myself,115.3
8,An Actual Playoff Contender,114.06,Los SexTape,119.62
8,Juan and done,96.16,Nathan Peterman was railroaded,65.12
8,Obj and the Gang,159.98,Show time,125.36
8,Gofers,106.06,Gum Pillows,62.6
8,Wills Sink Puke,117.72,Louisiana Chantin' Chodes,108.38
9,SF Snicker Optimizers,93.3,Juan and done,88.08
9,Gonna Achilles Myself,91.94,Los SexTape,107.42
9,Nathan Peterman was railroaded,98.82,The Football Team,100.52
9,Show time,88.48,An Actual Playoff Contender,77.72
9,Gum Pillows,122.6,Obj and the Gang,117.1
9,Louisiana Chantin' Chodes,79.68,Ron Don Volante,78.92
9,Wills Sink Puke,69.64,Gofers,124.76
10,SF Snicker Optimizers,84.44,The Football Team,77.26
10,Nathan Peterman was railroaded,137.08,Gonna Achilles Myself,76
10,Los SexTape,142.68,Show time,97.96
10,An Actual Playoff Contender,87.68,Gum Pillows,96.06
10,Juan and done,80,Louisiana Chantin' Chodes,93.22
10,Obj and the Gang,125.34,Wills Sink Puke,117.82
10,Ron Don Volante,71.42,Gofers,107.06
